subject_id,subject_label,subject_category,predicate_id,object_id,object_label,object_category,confidence,author_id,reviewer_id,mapping_date,mapping_justification
http://id.nlm.nih.gov/mesh/M0019639,Seminal Vesicles,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019640,Seminiferous Epithelium,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0004813,seminiferous tubule epithelium,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019641,Seminiferous Tubules,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001343,seminiferous tubule of testis,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019665,Septal Nuclei,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0002663,septal nuclear complex,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019667,Septum Pellucidum,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0004714,septum pellucidum,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019691,Sertoli Cells,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/CL_0000216,Sertoli cell,http://purl.obolibrary.org/obo/CL_0000000,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019702,Sesamoid Bones,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019803,Shoulder Joint,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0016884,shoulder joint,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019835,"Colon, Sigmoid",http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001159,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019898,Sinoatrial Node,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0002351,sinoatrial node,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019899,Sinus of Valsalva,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0003707,sinus of Valsalva,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019920,Skeleton,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0004288,skeleton,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019925,Skin,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019947,Skull,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0003129,skull,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020151,Somatosensory Cortex,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0008930,somatosensory cortex,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020274,Spermatic Cord,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0005352,spermatic cord,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020276,Spermatids,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/CL_0000018,spermatid,http://purl.obolibrary.org/obo/CL_0000000,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020280,Spermatocytes,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/CL_0000017,spermatocyte,http://purl.obolibrary.org/obo/CL_0000000,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020285,Spermatogonia,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/CL_0000020,spermatogonium,http://purl.obolibrary.org/obo/CL_0000000,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020286,Spermatozoa,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/CL_0000019,sperm,http://purl.obolibrary.org/obo/CL_0000000,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020291,Sphenoid Bone,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001677,sphenoid bone,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020292,Sphenoid Sinus,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001724,sphenoidal sinus,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020308,Spinal Canal,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0006692,vertebral canal,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020309,Spinal Cord,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0002240,spinal cord,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0020321,Spinal Nerve Roots,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0009623,spinal nerve root,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
